id,created_at,first_name,last_name,email,cell_phone,country,state,street,number,additionals
1,2017-01-11 14:45,Marta,Jesus,,9 9102-7834,Brasil,Acre,,,Conjunto 16
2,2017-10-16 0:50,Luana,Almeida,,9 7328-8718,Brasil,Rio Grande do Sul,Avenida 56 do Estado Rio Grande do Sul,989,Conjunto 17
3,2018-06-16 17:51,Frida,Mendes,frida@meu_email.com,9 5906-7552,Brasil,São Paulo,Avenida 59 do Estado São Paulo,534,
4,2018-01-17 3:02,Daniela,Avelino,daniela@exemplo.com,9 4642-9486,Brasil,Mato Grosso,,,
5,2018-08-06 7:24,Romário,Teixeira,,9 3093-6522,Brasil,Bahia,Praça 56 do Estado Bahia,191,Apto 12
6,2018-01-05 17:20,Marcelo,Barroso,,9 2830-2088,Brasil,Rio Grande do Sul,Rua 28 do Estado Rio Grande do Sul,805,Conjunto 13
7,2018-06-18 11:17,Cristiano,Elísio,cristiano@exemplo.com,9 3532-8404,Brasil,Goiás,Rua 78 do Estado Goiás,877,Apto 14
8,2018-02-08 12:36,Everton,Barbosa,everton@meu_email.com,9 2553-4087,Brasil,Distrito Federal,Avenida 86 do Estado Distrito Federal,864,Apto 14
9,2017-12-16 20:47,Gabriela,Alves,gabriela@exemplo.com,9 1353-8433,Brasil,Santa Catarina,,,
10,2018-11-11 11:48,Luan,Dias,luan@exemplo.com,9 2417-3678,Brasil,Distrito Federal,Avenida 54 do Estado Distrito Federal,889,Conjunto 14
11,2017-12-16 15:41,Mariana,Alves,mariana@meu_email.com,9 1846-6377,Brasil,Santa Catarina,,,
12,2018-05-16 3:39,James,Albuquerque,,9 2430-5905,Brasil,Sergipe,Rua 30 do Estado Sergipe,229,
13,2018-03-28 0:24,Carol,Barboza,carol@exemplo.com,9 8487-3501,Brasil,Mato Grosso,Rua 31 do Estado Mato Grosso,1,Conjunto 23
14,2018-08-27 21:15,Carolina,Monteiro,carolina@teste.com,9 1226-4267,Brasil,Rio Grande do Sul,Rua 4 do Estado Rio Grande do Sul,444,Apto 21
15,2017-11-12 3:02,Francisco,Nascimento,francisco@exemplo.com,9 7264-9020,Brasil,Distrito Federal,Rua 75 do Estado Distrito Federal,47,
16,2018-11-15 18:00,Stephanie,Barbosa,stephanie@usuario.com,9 1446-3560,Brasil,Mato Grosso,,,Conjunto 4
17,2017-12-12 21:29,Laura,Santos,laura@exemplo.com,9 7802-6152,Brasil,Maranhão,Rua 57 do Estado Maranhão,213,
18,2017-10-19 20:18,João,Magalhães,joão@exemplo.com,9 5995-1272,Brasil,Pernambuco,Rua 20 do Estado Pernambuco,781,Apto 17
19,2018-06-28 4:53,Jair,Magalhães,jair@exemplo.com,9 8368-1315,Brasil,Alagoas,Avenida 74 do Estado Alagoas,118,Conjunto 8
20,2018-10-20 19:31,Caíque,Monteiro,caíque@exemplo.com,9 9793-9986,Brasil,Piauí,,,Conjunto 13
21,2017-12-22 10:51,Adalberto,Silva,adalberto@usuario.com,9 1338-1447,Brasil,São Paulo,Rua 57 do Estado São Paulo,851,Conjunto 20
22,2018-02-21 15:35,Diego,Freire,diego@teste.com,9 6686-4094,Brasil,Bahia,Praça 4 do Estado Bahia,906,Apto 20
23,2018-04-18 22:43,Heitor,Pereira,,9 4839-8118,Brasil,Maranhão,Avenida 84 do Estado Maranhão,948,
24,2017-10-26 0:35,Maria,Pires,,9 8229-1067,Brasil,Amazonas,Avenida 80 do Estado Amazonas,581,
25,2018-07-25 9:34,Jair,Barroso,jair@teste.com,9 6679-6120,Brasil,Ceará,Rua 86 do Estado Ceará,770,Apto 21
26,2018-08-07 12:22,Alice,Veloso,alice@exemplo.com,9 9869-3706,Brasil,Minas Gerais,Praça 73 do Estado Minas Gerais,571,
27,2018-12-12 11:56,Eloá,da Silva,eloá@usuario.com,9 3982-5948,Brasil,Espírito Santo,Avenida 98 do Estado Espírito Santo,706,
28,2018-11-08 11:12,Luan,Lima,luan@teste.com,9 2529-8197,Brasil,Acre,Praça 86 do Estado Acre,303,Apto 27
29,2017-11-26 5:17,Beatriz,Araújo,beatriz@usuario.com,9 4543-3853,Brasil,Minas Gerais,Praça 7 do Estado Minas Gerais,536,Conjunto 5
30,2018-06-03 17:08,Geisa,Santos,geisa@meu_email.com,9 4653-9739,Brasil,Rio Grande do Norte,Avenida 77 do Estado Rio Grande do Norte,486,Conjunto 13
31,2018-06-08 7:49,Gabriel,Teixeira,gabriel@exemplo.com,9 7419-5325,Brasil,Rio Grande do Sul,Avenida 7 do Estado Rio Grande do Sul,94,
32,2018-07-02 22:04,Geisa,Freitas,geisa@exemplo.com,9 6772-5310,Brasil,Mato Grosso do Sul,Rua 18 do Estado Mato Grosso do Sul,128,
33,2018-07-22 11:59,Ana,Campos,ana@teste.com,9 1932-9841,Brasil,Bahia,Avenida 52 do Estado Bahia,402,
34,2017-12-28 12:51,João,da Silva,joão@usuario.com,9 2813-8103,Brasil,Paraná,Avenida 27 do Estado Paraná,240,Apto 6
35,2018-10-05 1:14,José,Campos,josé@teste.com,9 7552-4340,Brasil,Goiás,Praça 25 do Estado Goiás,884,Apto 7
36,2018-04-19 10:10,Adalberto,Dias,adalberto@usuario.com,9 8395-7004,Brasil,Espírito Santo,Rua 37 do Estado Espírito Santo,383,Apto 13
37,2018-01-26 3:29,Mariana,Góes,mariana@meu_email.com,9 7324-4293,Brasil,,,,Apto 25
38,2018-03-02 22:27,Daniela,Monteiro,daniela@meu_email.com,9 4704-5844,Brasil,Goiás,Rua 43 do Estado Goiás,116,Apto 28
39,2018-09-01 9:33,Marcelo,Mendes,,9 6773-1560,Brasil,Espírito Santo,Avenida 64 do Estado Espírito Santo,213,
40,2017-11-15 7:17,Caio,Batista,caio@usuario.com,9 4761-6542,Brasil,Maranhão,Avenida 87 do Estado Maranhão,656,Apto 25
41,2018-08-17 13:21,Gabriela,Nascimento,gabriela@teste.com,9 5382-5772,Brasil,Amapá,Avenida 85 do Estado Amapá,476,
